Mã,Tên,C?p,Ngh? quy?t,Mã TP,T?nh / Thành Ph?
10210,Xã H?ng Vân,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10231,Xã Th??ng Phúc,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10237,Xã Ch??ng D??ng,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10273,Xã Phú Xuyên,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10279,Xã Ph??ng D?c,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10330,Xã Chuyên M?,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10342,Xã ??i Xuyên,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10354,Xã Vân ?ình,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10369,Xã ?ng Thiên,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10402,Xã ?ng Hòa,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10417,Xã Hòa Xá,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10441,Xã M? ??c,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10459,Xã Phúc S?n,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10465,Xã H?ng S?n,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
10489,Xã H??ng S?n,Xã,S?: 1656/NQ-UBTVQH15; Ngày: 16/06/2025,01,Thành ph? Hà N?i
01273,Ph??ng Th?c Phán,Ph??ng,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01279,Ph??ng Nùng Trí Cao,Ph??ng,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01288,Ph??ng Tân Giang,Ph??ng,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01290,Xã B?o Lâm,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01294,Xã Lý Bôn,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01297,Xã Nam Quang,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01304,Xã Qu?ng Lâm,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01318,Xã Yên Th?,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01321,Xã B?o L?c,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01324,Xã C?c Pàng,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01327,Xã Cô Ba,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01336,Xã Khánh Xuân,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01339,Xã Xuân Tr??ng,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01351,Xã H?ng ??o,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01354,Xã Huy Giáp,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01360,Xã S?n L?,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01363,Xã Thông Nông,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01366,Xã C?n Yên,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01387,Xã Thanh Long,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01392,Xã Tr??ng Hà,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01393,Xã L?ng N?m,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01414,Xã T?ng C?t,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01438,Xã Hà Qu?ng,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01447,Xã Trà L?nh,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01456,Xã Quang Hán,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01465,Xã Quang Trung,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01477,Xã Trùng Khánh,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01489,Xã ?ình Phong,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01501,Xã ?àm Th?y,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01525,Xã ?oài D??ng,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01537,Xã Lý Qu?c,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01552,Xã Quang Long,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01558,Xã H? Lang,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01561,Xã Vinh Quý,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01576,Xã Qu?ng Uyên,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01594,Xã ??c L?p,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01618,Xã H?nh Phúc,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01636,Xã B? V?n ?àn,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01648,Xã Ph?c Hòa,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01654,Xã Hòa An,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01660,Xã Nam Tu?n,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01699,Xã Nguy?n Hu?,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01708,Xã B?ch ??ng,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01726,Xã Nguyên Bình,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01729,Xã T?nh Túc,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01738,Xã Ca Thành,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01747,Xã Minh Tâm,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01768,Xã Phan Thanh,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01774,Xã Tam Kim,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01777,Xã Thành Công,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01786,Xã ?ông Khê,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01789,Xã Canh Tân,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01792,Xã Kim ??ng,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01795,Xã Minh Khai,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01807,Xã Th?ch An,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
01822,Xã ??c Long,Xã,S?: 1657/NQ-UBTVQH15; Ngày: 16/06/2025,04,T?nh Cao B?ng
00691,Ph??ng Hà Giang 2,Ph??ng,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00694,Ph??ng Hà Giang 1,Ph??ng,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00700,Xã Ng?c ???ng,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00706,Xã Phú Linh,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00715,Xã L?ng Cú,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00721,Xã ??ng V?n,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00733,Xã Sà Phìn ,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00745,Xã Ph? B?ng,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00763,Xã L?ng Phìn,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00769,Xã Mèo V?c,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00778,Xã S?n V?,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00787,Xã S?ng Máng,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00802,Xã Khâu Vai,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00808,Xã Tát Ngà,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00817,Xã Niêm S?n,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00820,Xã Yên Minh,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00829,Xã Th?ng M?,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00832,Xã B?ch ?ích,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00847,Xã M?u Du?,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00859,Xã Ng?c Long,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00865,Xã ???ng Th??ng,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00871,Xã Du Già,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00874,Xã Qu?n B?,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00883,Xã Cán T?,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00889,Xã Ngh?a Thu?n,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
00892,Xã Tùng Vài,Xã,S?: 1684/NQ-UBTVQH15; Ngày: 16/06/2025,08,T?nh Tuyên Quang
